"","mean","sd"
"quote_price",347.667057321642,628.681228065892
"number_of_days_travelled",28.8257539292217,49.4054630453821
"quote_delay",54.7729945796622,72.0982305070371
"extra_cancellation_amount",1558.04365569345,4336.50762173622
"carer_load_ratio",0.136987502030508,0.379177526471086
"log_ppp",1.24072205267865,1.41287389511336
"average_ppp",960.735417356207,1937.40297537176
"human_rights_index",0.780871553823561,0.186378496744687
"rule_of_law_index",0.743161753832337,0.26804302035713
"water_death_rate",3.70635109069444,5.5080497731984
"avg_crime_rate",42.755568572083,10.3459520735888
"num_people",1.85511583617605,1.09078858742301
